Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.63, 0.49, 0.61, -1.15, -0.47, -1.71
1, 0.63, 0.49, 0.60, -1.07, -0.76, -1.89
2, 0.63, 0.48, 0.61, -0.66, -0.17, -1.68
3, 0.63, 0.49, 0.61, -0.92, 0.72, -1.76
4, 0.63, 0.49, 0.60, -1.15, 0.76, -1.76
5, 0.63, 0.49, 0.61, -1.25, 0.44, -1.86
6, 0.63, 0.49, 0.61, -1.22, -0.09, -2.08
7, 0.63, 0.49, 0.60, -1.42, -0.56, -2.09
8, 0.63, 0.49, 0.61, -1.40, -0.87, -1.95
9, 0.63, 0.49, 0.60, -1.51, -0.47, -1.66
10, 0.63, 0.49, 0.61, -1.30, -0.17, -1.60
11, 0.63, 0.49, 0.61, -1.08, 0.17, -1.47
12, 0.63, 0.49, 0.61, -0.87, 1.37, -1.30
13, 0.63, 0.48, 0.61, -0.64, 2.46, -0.67
14, 0.64, 0.49, 0.60, -0.26, 2.72, -0.32
15, 0.63, 0.49, 0.58, -0.53, 1.48, -0.41
16, 0.63, 0.50, 0.60, -0.82, 1.22, -0.17
17, 0.63, 0.50, 0.60, -0.47, 1.18, -0.29
18, 0.63, 0.50, 0.59, -0.11, 1.02, -0.09
19, 0.63, 0.50, 0.60, 0.20, 0.87, -0.12
20, 0.63, 0.50, 0.62, 0.49, 0.44, -0.29
21, 0.62, 0.49, 0.61, 0.35, 1.48, -0.38
22, 0.62, 0.48, 0.61, 0.02, 2.66, -0.38
23, 0.63, 0.49, 0.61, -0.43, 2.81, -0.38
24, 0.63, 0.50, 0.61, -1.13, 1.88, -0.56
25, 0.63, 0.50, 0.61, -1.68, 0.63, -0.70
26, 0.64, 0.49, 0.60, -1.36, -0.61, -1.08
27, 0.64, 0.50, 0.61, -0.73, -0.78, -1.27
28, 0.63, 0.49, 0.61, -0.56, 0.43, -0.98
29, 0.62, 0.50, 0.60, -0.78, 1.37, -0.82
30, 0.62, 0.50, 0.60, -0.87, 1.31, -0.49
31, 0.63, 0.49, 0.62, -0.75, 0.84, -0.50
32, 0.63, 0.50, 0.61, -0.47, 0.08, -0.35
33, 0.63, 0.50, 0.61, -0.29, -1.02, -0.87
34, 0.62, 0.50, 0.61, -0.11, -3.02, -3.10
35, 0.62, 0.51, 0.62, -0.41, -4.18, -6.23
36, 0.62, 0.49, 0.62, 1.50, -6.00, -12.46
37, 0.63, 0.51, 0.58, 4.35, -10.02, -23.73
38, 0.60, 0.51, 0.53, 3.16, -17.30, -39.04
39, 0.60, 0.53, 0.55, 1.53, -27.63, -57.34
40, 0.59, 0.52, 0.58, 2.69, -36.44, -67.05
41, 0.63, 0.53, 0.57, 3.65, -29.50, -67.95
42, 0.60, 0.54, 0.59, 2.58, -26.89, -71.44
43, 0.56, 0.52, 0.60, 7.85, -26.56, -79.86
44, 0.61, 0.49, 0.59, 16.31, -6.14, -64.72
45, 0.69, 0.60, 0.57, 14.11, 5.16, -42.52
46, 0.68, 0.53, 0.55, 14.85, -5.19, -46.78
47, 0.78, 0.61, 0.57, 18.35, -22.82, -45.08
48, 0.69, 0.54, 0.58, 17.59, -25.54, -38.38
49, 0.69, 0.53, 0.56, 16.75, -19.86, -25.54
50, 0.67, 0.55, 0.56, 16.47, -19.13, -13.60
51, 0.65, 0.55, 0.56, 13.19, -23.10, -8.20
52, 0.63, 0.60, 0.56, 7.74, -26.84, -5.91
53, 0.58, 0.60, 0.56, 6.95, -27.77, -8.34
54, 0.59, 0.60, 0.58, 9.69, -24.79, -8.05
55, 0.56, 0.62, 0.57, 12.29, -25.95, -7.54
56, 0.54, 0.61, 0.53, 15.21, -32.35, -7.71
57, 0.59, 0.64, 0.56, 8.23, -29.36, -15.16
58, 0.57, 0.62, 0.54, 6.63, -22.73, -17.97
59, 0.59, 0.60, 0.53, 5.48, -14.49, -12.67
60, 0.62, 0.59, 0.53, 5.77, -11.79, -2.53
61, 0.63, 0.60, 0.52, 2.02, -11.76, 8.05
62, 0.65, 0.59, 0.53, 0.56, -10.02, 23.30
63, 0.68, 0.57, 0.51, 2.08, -7.44, 41.39
64, 0.71, 0.57, 0.50, 2.26, -5.54, 62.50
65, 0.72, 0.57, 0.46, -0.98, -5.69, 82.85
66, 0.76, 0.56, 0.46, -4.21, -0.53, 109.80
67, 0.79, 0.47, 0.46, 3.56, 3.91, 138.98
68, 0.78, 0.46, 0.45, 5.86, 4.96, 149.65
69, 0.73, 0.52, 0.45, 5.15, 6.32, 149.31
70, 0.68, 0.58, 0.50, 4.26, 6.41, 141.21
71, 0.55, 0.64, 0.52, -2.46, 6.31, 114.75
72, 0.58, 0.66, 0.59, -6.78, 5.74, 91.68
73, 0.55, 0.62, 0.60, -5.08, 12.90, 74.11
74, 0.60, 0.51, 0.56, -1.08, 22.17, 64.55
75, 0.61, 0.47, 0.57, -0.72, 23.65, 51.31
76, 0.64, 0.44, 0.58, -3.01, 25.04, 44.63
77, 0.65, 0.41, 0.57, -1.83, 25.08, 37.25
78, 0.66, 0.41, 0.58, -2.40, 24.93, 28.81
79, 0.67, 0.43, 0.56, -3.34, 23.59, 21.80
80, 0.69, 0.43, 0.56, -5.11, 20.20, 17.34
81, 0.69, 0.45, 0.55, -7.48, 17.60, 12.64
82, 0.69, 0.45, 0.59, -10.15, 13.85, 7.16
83, 0.68, 0.44, 0.57, -12.60, 10.60, -0.06
84, 0.65, 0.45, 0.58, -15.71, 6.81, -11.57
85, 0.63, 0.48, 0.58, -19.16, 1.54, -30.66
86, 0.61, 0.50, 0.56, -23.44, -9.44, -56.64
87, 0.60, 0.57, 0.56, -28.09, -26.47, -84.63
88, 0.60, 0.53, 0.57, -24.85, -46.38, -110.18
89, 0.66, 0.55, 0.58, -29.11, -47.69, -123.28
90, 0.75, 0.42, 0.56, -25.62, -24.73, -105.62
91, 0.75, 0.45, 0.55, -13.98, -4.49, -96.52
