Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.67, 0.52, 0.53, -0.41, 0.95, 0.99
1, 0.67, 0.52, 0.54, -1.19, 1.30, 0.66
2, 0.68, 0.52, 0.54, -2.20, 0.63, 0.29
3, 0.67, 0.51, 0.54, -3.16, 0.21, -0.46
4, 0.68, 0.50, 0.54, -3.59, -0.75, -0.78
5, 0.68, 0.50, 0.54, -4.11, -0.72, -0.31
6, 0.67, 0.51, 0.53, -4.24, 0.00, -0.20
7, 0.68, 0.51, 0.54, -3.45, 1.92, -0.47
8, 0.68, 0.53, 0.52, -1.92, 3.59, -0.52
9, 0.68, 0.53, 0.53, -0.56, 3.63, -0.46
10, 0.68, 0.54, 0.53, -0.12, 1.39, -0.87
11, 0.67, 0.54, 0.54, 0.41, 0.66, -1.16
12, 0.67, 0.52, 0.54, 0.26, 1.13, -0.81
13, 0.67, 0.53, 0.53, -0.69, 1.44, -0.79
14, 0.67, 0.53, 0.54, -1.27, 1.25, -0.12
15, 0.67, 0.54, 0.53, -1.62, 0.98, 0.11
16, 0.67, 0.53, 0.53, -1.73, -0.64, -0.08
17, 0.67, 0.53, 0.53, -1.08, -1.31, -0.34
18, 0.68, 0.53, 0.53, -0.72, -1.59, -0.18
19, 0.68, 0.53, 0.53, -0.31, -2.03, -0.02
20, 0.68, 0.53, 0.53, -0.44, -1.97, -0.02
21, 0.67, 0.51, 0.52, -0.56, -1.05, -0.02
22, 0.67, 0.52, 0.53, -0.63, -0.46, -0.47
23, 0.68, 0.52, 0.53, -0.69, 0.34, -0.29
24, 0.67, 0.51, 0.53, -0.98, 1.34, 0.06
25, 0.67, 0.52, 0.53, -1.08, 1.27, -0.15
26, 0.67, 0.53, 0.52, -0.99, 1.48, -0.15
27, 0.67, 0.52, 0.52, -0.78, 1.97, -0.43
28, 0.68, 0.52, 0.53, -0.81, 1.45, -0.08
29, 0.68, 0.52, 0.54, -0.79, 0.14, 0.17
30, 0.68, 0.52, 0.54, -0.58, 0.21, 0.17
31, 0.67, 0.52, 0.53, -1.08, -0.11, 0.24
32, 0.68, 0.52, 0.53, -1.62, -0.43, 0.23
33, 0.67, 0.52, 0.53, -1.44, 0.31, 0.09
34, 0.66, 0.52, 0.53, -1.45, 0.72, 0.20
35, 0.67, 0.53, 0.51, -1.82, 0.08, -0.11
36, 0.67, 0.52, 0.53, -1.37, -0.67, -0.84
37, 0.67, 0.53, 0.53, -0.89, -0.87, -1.37
